navigation;modèle-imprimante;;imprimante;;Label;;;;ref-constructeur;prix;capacité;ID_printer;ID_product
Brother;Brother  HL-L;;HL-L 8300 Series;;COMPATIBLE Brother TN326BK - Toner noir;;;;TN-326 BK;null;4000;168;4679
Utax;Utax  CD;;CD 1030;;ORIGINAL Utax 612510010 - Toner noir;;;;612 510 010;null;34000;15421;5727
Ricoh;Ricoh  Fax;;Fax 5500 Series;;Ricoh Toner Type 5210 (430245) 10k;;;;TYPE 5210;null;430245;10131;5304
Panasonic;Panasonic  KX-FL;;KX-FL 540;;COMPATIBLE Panasonic KXFA83X - Toner noir;;;;KX-FA 83 X;null;2500;8906;5223
Canon;Canon  imagePROGRAF IPF;;imagePROGRAF IPF 6100;;ORIGINAL Canon 2212B001 / PFI-103 BK - Cartouche d'encre noire;;;;PFI-103 BK;null;2212 B 001;2058;4798
Canon;Canon  Pixma;;Pixma IP 4600 Series;;Pack de 5 GENERIQUES CANON PGI-520+CLI-521B+C+M+Y;;;;PGI520BK+CLI521BkCMY;null;PGI520BK+CLI521BkCMY;2059;4799
Olympia;Olympia  CM;;CM 888;;ORIGINAL Citizen 3000101 / IR 91 B - Ruban nylon noir;;;;IR 91 B;null;3000101;8464;5011
Canon;Canon  imageCLASS MF;;ImageClass MF 226 dn;;PROMO Pack de 4 toners Compatible Canon 9435B002/ 737;;;;NT-PH283XCU;null;737;2060;4800
Ricoh;Ricoh  Aficio Color;;Aficio Color 6513;;ORIGINAL Ricoh 887890 / TYPE L 1 - Toner noir;;;;TYPE L 1;null;887890;10132;5292
Casio;Casio  FR;;FR 520;;ORIGINAL Olivetti 81129 - Rouleau couleur;;;;81129;null;Oui;6188;4873
Xerox;Xerox  WC;;WC Pro 421 PI;;ORIGINAL Toshiba 66061618 / T-2500 E - Toner noir;;;;T-2500 E;null;66061618;15830;5650
Ricoh;Ricoh  Aficio MP;;Aficio MP 4000 b ADP;;ORIGINAL Ricoh B2969640 / TYPE 4500 - Développeur;;;;TYPE 4500;null;B2969640;10133;5305
Samsung;Samsung  ML;;ML-2451 N;;COMPATIBLE Samsung MLD2850BELS - Toner noir;;;;MLD-2850 B/ELS;null;5000;11822;5470
Canon;Canon  Multipass;;Multipass C 50;;Pack de 10 Cartouches COMPATIBLES CANON (5xBCI21BK/24BK + 5xBCI21CL/24CL);;;;NC-00024BK/21BK;null;BCI21/BCI24;2061;4801
Canon;Canon  IR-C;;IR-C 356 P;;ORIGINAL Canon 2182C002 / C-EXV 55 - Toner noir;;;;C-EXV 55;null;2182 C 002;2062;4802
Brother;Brother  P-Touch;;P-Touch P 300 BT;;null;;;;null;null;null;169;#N/A
Olympia;Olympia  Omega;;Omega 1810 Z;;ORIGINAL Kyocera 37057010 - Toner noir;;;;37057010;null;5000;8465;4689
Olivetti;Olivetti  D-Copia;;D-Copia 250 MF;;null;;;;null;null;null;7691;#N/A
Ricoh;Ricoh  Priport JP;;Priport JP 1235;;Cartouche Ricoh JP 12 Noir (817104);;;;JP 12;null;817104;10134;5306
Canon;Canon  Satera;;Satera LBP-5050 n;;COMPATIBLE Canon 1980B002 / 716BK - Toner noir;;;;716BK;null;1980 B 002;2063;4803
Canon;Canon  LBP;;LBP-25;;COMPATIBLE HP C7115X / 15X - Toner noir;;;;15X;null;C 7115 X;2064;4804
Wincor-Nixdorf;Wincor-Nixdorf  ND;;ND 73;;COMPATIBLE OKI 09002309 - Ruban nylon noir;;;;9002309;null;Non;15698;4794
Ricoh;Ricoh  Aficio MP;;Aficio MP 8001;;Ricoh Toner MP 9002 (842116) (OLD: 841992);;;;TYPE 6210 D;null;885098;10135;5302
Triumph-Adler;Triumph-Adler  FX;;FX 650 I;;COMPATIBLE Olivetti B0384 / FPJ20 (84431)  - Tête d'impression noire;;;;FPJ20;null;B0384;15099;4691
Xerox;Xerox  DC;;DC 700;;ORIGINAL Xerox 013R00656 - Kit tambour;;;;013 R 00656;null;50000;15831;5822
Ricoh;Ricoh  Aficio SP;;Aficio SP 377 DNwX;;COMPATIBLE Ricoh 408162 / TYPE SP 377 XE - Toner noir;;;;TYPE SP 377 XE;null;408162;10136;5307
Sharp;Sharp  BL;;BL 330 X;;ORIGINAL Canon 4202A002 / EP-102 - Ruban nylon noir-rouge;;;;EP-102;null;4202 A 002;13109;4684
Canon;Canon  imageRUNNER C;;imageRUNNER C 1021 Series;;ORIGINAL Canon 1660B006 / C-EXV 26 - Toner noir;;;;C-EXV 26;null;1660 B 006;2065;4805
